,PROD_CD,SLSMAN_CD,PLAN_MONTH,TARGET_IN_EA,ACH_IN_EA
1208,50,114,11,37344,31195
1209,10,97,11,0,5
1210,51,135,11,0,70
1211,80,185,12,552,310
1212,82,131,12,4662,2841
1213,19,129,11,4200,4603
1215,80,163,12,648,541
1216,25,216,10,252,225
1218,45,117,10,912,480
1219,38,140,12,216,154
1220,26,64,10,288,124
1221,85,166,12,0,147
1222,17,39,11,10260,2253
1223,38,174,10,324,254
1225,56,23,11,36,43
1226,76,136,10,0,708
1227,54,111,12,12,0
1228,50,49,10,31584,21840
1229,22,40,10,800,120
1231,28,206,10,6,0
1232,9,19,11,0,20
1233,32,45,10,2052,2126
1234,83,44,11,0,762
1235,20,195,11,24,74
1236,35,122,10,6720,10956
1237,80,23,10,600,622
1238,51,189,11,0,1479
1240,17,52,11,13896,4194
1242,42,53,11,36,57
1244,81,139,10,432,326
1245,27,172,12,144,46
1246,42,195,11,36,42
1247,47,15,10,1128,1094
1249,76,154,10,0,385
1252,58,75,12,6384,8344
1253,82,154,11,0,2902
1255,27,163,10,144,208
1257,50,17,10,65232,33289
1258,59,40,12,2814,729
1259,20,122,10,24,48
1261,31,105,12,400,0
1262,16,198,12,3600,1013
1263,58,48,11,92232,76680
1265,36,9,12,24,7
1266,48,174,11,48,0
1267,39,19,10,504,669
1268,38,194,12,1044,774
1269,22,108,10,14400,4560
1270,32,66,10,1272,1226
1271,26,159,11,60,64
1272,81,184,11,312,48
1273,16,4,10,0,3696
1274,15,157,11,0,123
1275,11,190,12,252,237
1276,51,62,12,0,2926
1277,67,115,10,0,64
1278,26,217,11,96,51
1280,19,100,12,14448,17681
1282,27,27,10,144,149
1283,58,176,10,8064,9888
1284,37,17,10,180,208
1285,22,5,12,5600,7360
1286,39,13,10,288,213
1290,50,53,11,32448,37172
1292,28,49,12,0,30
1293,26,60,10,324,207
1294,22,164,11,36000,13600
1295,80,98,12,336,0
1296,5,197,12,160,130
1297,36,17,10,24,24
1298,13,107,12,2556,2475
1299,23,17,10,216,242
1300,58,32,11,2520,1196
1301,37,142,11,108,97
1303,2,41,11,0,8
1305,39,144,12,252,153
1306,50,23,10,28032,26614
1308,15,132,10,11640,12760
1309,38,97,12,108,81
1311,56,111,11,180,223
1312,35,13,12,6048,5589
1314,48,32,10,0,11
1315,83,171,12,0,1125
1316,38,193,11,108,183
1317,10,211,11,0,167
